Name,Title,Experience,Link
이OO,엠티데이타 국가정보자원관리팀 임원,30년 3개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=2987273
전OO,모바일나인㈜ 근무,20년 11개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=9318835
이OO,OO(비공개) QA 과장(선임연구원),21년 4개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=1036132
김OO,OO(비공개) 개발/생산/품질 차장,20년 2개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=2493938
박OO,OO(비공개) R&D 수석연구원,17년 7개월,https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=10392408
