Name, Title, Experience, Link
추OO, 지아이데이타 SI, 11년 3개월, https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=18658118
정OO, 가연결혼정보 커플매니져 사원(연구원), 8년 10개월, https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=11991149
김OO, ㈜에이렘 근무 사원(연구원), 11년 6개월, https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=28297136
박OO, ㈜에이플러스에셋어드바이저 근무, 22년 8개월, https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=15423623
강OO, (주)페퍼저축은행 ESG/마케팅부, 19년 4개월, https://www.jobkorea.co.kr/corp/person/find/resume/view?rNo=29459513
